Date,WorkspaceLineId,WorkspaceFactoryName,WorkspaceBuildingName,BuyerName,SMV,SampleSMV,CM,DayTarget,IETarget,TargetEfficiency,ManPowerPresent,PlannedIronMan,PlannedHelper,PlannedOperator,PlannedHours,RunningWorkDay,AchievedEfficiency,dhu
10/22/2025,L102,Beta Garments Ltd,Beta-B2,Buyer 2,11.38,11.36,2,2791,2965,50.2,51,2,8,30,10.8,15,22.28,12.01
10/22/2025,L021,Alpha Apparels Ltd,Alpha-B1,Buyer 1,9.65,8.89,1.61,1755,1178,62,48,2,8,30,8.1,18,53.23,6
10/22/2025,L118,Beta Garments Ltd,Beta-B2,Buyer 1,39.12,38.53,2.97,1359,2496,70.1,26,2,8,30,8.1,11,70.99,7.02
10/22/2025,L071,Gamma Textiles Ltd,Gamma-B2,Buyer 1,13,13.52,1.58,1250,2290,62.4,48,2,8,30,10.7,24,43.08,15.36
10/22/2025,L113,Alpha Apparels Ltd,Alpha-B2,Buyer 1,14.62,15.11,2.85,844,2171,69.1,49,2,8,30,10.5,23,62.03,9.07
10/22/2025,L090,Gamma Textiles Ltd,Gamma-B1,Buyer 8,44.34,43.16,1.49,525,1185,50.2,35,2,8,30,9.1,6,45.26,2.4
10/22/2025,L137,Beta Garments Ltd,Beta-B2,Buyer 1,11.95,12.96,2.07,668,1505,63.4,62,2,8,30,9,23,43.75,5.69
10/22/2025,L100,Alpha Apparels Ltd,Alpha-B2,Buyer 1,26.42,26.62,1.88,2997,719,63.2,54,2,8,30,10.5,6,44.26,9.47
10/22/2025,L044,Alpha Apparels Ltd,Alpha-B2,Buyer 1,16.56,17.38,2.98,2535,2712,66.6,38,2,8,30,8.5,24,41.39,3.35
10/22/2025,L022,Beta Garments Ltd,Beta-B3,Buyer 11,14.16,13.11,1.55,1287,2060,74.7,51,2,8,30,9.9,14,20.83,8.25
10/22/2025,L123,Beta Garments Ltd,Beta-B2,Buyer 13,42.69,44.17,1.21,2667,2004,60.9,46,2,8,30,8.8,5,5040.21161,3.84
10/22/2025,L097,Gamma Textiles Ltd,Gamma-B3,Buyer 2,40.96,40.02,2.49,2822,1075,66.8,45,2,8,30,9.2,6,41.17,3.14
10/22/2025,L132,Beta Garments Ltd,Beta-B3,Buyer 2,11.15,12.2,2.06,1773,933,54,42,2,8,30,8.2,14,42.31,5.38
10/22/2025,L058,Alpha Apparels Ltd,Alpha-B3,Buyer 1,14.93,13.58,2.39,2161,985,69.5,38,2,8,30,10.6,25,84.91,2.31
10/22/2025,L074,Alpha Apparels Ltd,Alpha-B1,Buyer 14,17.4,16.71,1.75,2335,723,69.6,41,2,8,30,8.6,17,101.18,17.49
10/22/2025,L054,Alpha Apparels Ltd,Alpha-B3,Buyer 1,20.94,22.85,1.2,1853,654,56.5,51,2,8,30,9.3,16,43.98,3.55
10/22/2025,L089,Beta Garments Ltd,Beta-B1,Buyer 3,20.92,20.62,2.37,500,2238,76.2,43,2,8,30,8.7,9,73.01,2.16
10/22/2025,L059,Alpha Apparels Ltd,Alpha-B2,Buyer 1,39.68,37.54,1.07,1718,559,73.1,42,2,8,30,8.8,11,29.07,10.59
10/22/2025,L094,Gamma Textiles Ltd,Gamma-B2,Buyer 2,23.58,23.94,0.83,1575,2080,55.9,51,2,8,30,10,25,47.19,7.12
10/22/2025,L110,Beta Garments Ltd,Beta-B3,Buyer 1,30.97,31.67,2.78,544,2805,76.7,46,2,8,30,10.2,25,93.64,1.63
10/22/2025,L079,Alpha Apparels Ltd,Alpha-B3,Buyer 1,27.15,27.75,1.08,539,1765,51.6,53,2,8,30,8.6,12,55.09,3.69
10/22/2025,L002,Alpha Apparels Ltd,Alpha-B1,Buyer 20,15.71,16.04,1.82,2891,2519,72.3,54,2,8,30,8.9,8,85.01,16.07
10/22/2025,L007,Beta Garments Ltd,Beta-B2,Buyer 3,26.92,25.81,2.16,2031,1612,56.4,38,2,8,30,10.9,10,49.93,0
10/22/2025,L042,Beta Garments Ltd,Beta-B2,Buyer 2,13.76,14.74,0.7,2397,1523,60.4,48,2,8,30,10.4,1,58.69,7.52
10/22/2025,L124,Alpha Apparels Ltd,Alpha-B2,Buyer 1,14.74,15.99,1,1504,1911,71.7,33,2,8,30,10.8,6,47.13,11.87
10/22/2025,L043,Alpha Apparels Ltd,Alpha-B1,Buyer 18,28.28,27.14,0.51,1588,1782,64.4,44,2,8,30,9.3,9,68.58,9.96
10/22/2025,L070,Beta Garments Ltd,Beta-B1,Buyer 3,12.07,12.51,2.33,1375,1259,57,51,2,8,30,9.5,22,37.32,6.02
10/22/2025,L073,Gamma Textiles Ltd,Gamma-B1,Buyer 14,13.71,14.45,2.84,2563,1108,70.3,40,2,8,30,10,20,62,3.79
10/22/2025,L009,Gamma Textiles Ltd,Gamma-B2,Buyer 1,29.04,29.02,1.84,2319,2019,75,55,2,8,30,8.6,21,25.11,3.3
10/22/2025,L075,Alpha Apparels Ltd,Alpha-B3,Buyer 3,38.76,37.64,0.89,2968,812,77,47,2,8,30,9.9,4,46.31,5.74
10/22/2025,L134,Alpha Apparels Ltd,Alpha-B3,Buyer 1,29.04,30.44,0.86,1331,2659,52.5,43,2,8,30,10.9,25,262.4562362,9.08
10/22/2025,L049,Beta Garments Ltd,Beta-B2,Buyer 1,33.34,34.23,1.53,1674,1035,61.4,41,2,8,30,10.5,12,43.58,7.44
10/22/2025,L096,Alpha Apparels Ltd,Alpha-B3,Buyer 12,11.96,12.32,1.05,1231,1544,59.7,55,2,8,30,8.7,13,75,12.46
10/22/2025,L064,Alpha Apparels Ltd,Alpha-B2,Buyer 2,10.16,10.41,1.17,1486,1946,56.1,40,2,8,30,10.7,21,39.81,6.61
10/22/2025,L092,Alpha Apparels Ltd,Alpha-B3,Buyer 1,33.1,33.03,1.18,1624,687,68.5,40,2,8,30,9.8,11,31.56,6.32
10/22/2025,L076,Beta Garments Ltd,Beta-B2,Buyer 1,41.68,42.64,1.5,2500,2462,62.8,49,2,8,30,8.5,18,71.28,0.86
10/22/2025,L056,Alpha Apparels Ltd,Alpha-B3,Buyer 1,31.76,30.95,1.16,1248,1877,79.7,42,2,8,30,8,13,65.35,3.91
10/22/2025,L018,Alpha Apparels Ltd,Alpha-B2,Buyer 12,34.24,36.98,2.19,2175,2422,65,42,2,8,30,10.8,19,33.89,6.52
